しわ寄せ,n,-1
しんどさ,n,-1
し損ない,n,-1
じり高,n,-1
じり貧,n,-1
すかっと,p,1
すかんぴん,n,-1
すきだらけ,n,-1
すきっと,p,1
すっきり,p,1
すったもんだ,n,-1
すってんてん,n,-1
すっと,p,1
すっぽかし,n,-1
すてき,p,1
すばやさ,p,1
すばらしさ,p,1
すり,n,-1
ずぶ濡れ,n,-1
ずぼら,n,-1
ずる,n,-1
せかせか,n,-1
せき,n,-1
せき払い,n,-1
せせら笑い,n,-1
せつなさ,n,-1
ぜんそく,n,-1
ぜん息,n,-1
そしり,n,-1
そねみ,n,-1
その場しのぎ,n,-1
その場逃れ,n,-1
それきり,n,-1
それきり・それっきり,n,-1
それっきり,n,-1
それなり,p,1
たおやか,p,1
たくましさ,p,1
たしなみ,p,1
たたずまい,p,1
ただれ,n,-1
ただれ目,n,-1
たっぷり,p,1
ため,p,1
ためらい傷,n,-1
ため息,n,-1
たらい回し,n,-1
たるみ,n,-1
だみ声,n,-1
だらしなさ,n,-1
だらだら,n,-1
だらっと,n,-1
だらりと,n,-1
だらんと,n,-1
だるさ,n,-1
だれ気味,n,-1
ちゃめっ気,p,1
ちゃらんぽらん,n,-1
ちょい役,n,-1
ちょっかい,n,-1
ちょんぼ,n,-1
つじ強盗,n,-1
つっけんどん,n,-1
つつましやか,p,1
つながり,p,1
つまずき,n,-1
つまらなさ,n,-1
つや,p,1
つらさ,n,-1
つわもの,p,1
つわり,n,-1
ていねい,p,1
てんかん,n,-1
てんこ盛り,p,1
てんやわんや,n,-1
できもの,n,-1
でこぼこ,n,-1
でたらめ,n,-1
でっち上げ,n,-1
とがめ,n,-1
とがり声,n,-1
ときめき,p,1
とどめ,n,-1
とばっちり,n,-1
とまどい,n,-1
どぎまぎ,n,-1
どさくさ,n,-1
どたキャン,n,-1
どら声,n,-1
どんでん返し,n,-1
どん底,n,-1
ど根性,p,1
なだらか,p,1
なつかしさ,p,1
なぶり殺し,n,-1
なまくら,n,-1
なめらか,p,1
なめらかさ,p,1
ならず者,n,-1
にきび,n,-1
にぎやか,p,1
にぎわい,p,1
にこにこ顔,p,1
ぬかるみ,n,-1
ぬか喜び,n,-1
ぬくもり,p,1
ぬめり,n,-1
ねぎらい,p,1
ねたましさ,n,-1
ねたみ,n,-1
のぞみ,p,1
ののしり,n,-1
のみの心臓,n,-1
のらくら,n,-1
のんべんだらり,n,-1
はしか,n,-1
はずみ,n,-1
はたらき,p,1
はた迷惑,n,-1
はちゃめちゃ,n,-1
はつらつ,p,1
はまり役,p,1
はやり風邪,n,-1
はやり目,n,-1
はらはら,n,-1
はれ物,n,-1
ばい菌,n,-1
ばか,n,-1
ばかばかしさ,n,-1
ばか力,p,1
ばつ,n,-1
ばらつき,n,-1
ひがみ,n,-1
ひき逃げ,n,-1
ひさしぶり,p,1
ひったくり,n,-1
ひとりよがり,n,-1
ひとり相撲,n,-1
ひとり立ち,p,1
ひと事,n,-1
ひどさ,n,-1
ひび割れ,n,-1
ひもじさ,n,-1
ひょう疽,n,-1
ひょっとこ,n,-1
ひ弱,n,-1
びくびく,n,-1
びんた,n,-1
ぴか一,p,1
ふがいなさ,n,-1
ふくよか,p,1
ふさぎの虫,n,-1
ふしだら,n,-1
ふん,n,-1
ぶおとこ,n,-1
ぶおんな,n,-1
ぶきっちょ,n,-1
ぶす,n,-1
ぶっきらぼう,n,-1
へったくれ,n,-1
へっぽこ,n,-1
へなちょこ,n,-1
へぼ,n,-1
へま,n,-1
へんちくりん,n,-1
へんてこ,n,-1
へんとう炎,n,-1
べたぼれ,p,1
べた褒め,p,1
べっぴん,p,1
ぺしゃんこ,n,-1
ほくほく顔,p,1
ほこり,n,-1
ほころび,n,-1
ほとぼり,n,-1
ほの字,p,1
ほほ笑み,p,1
ほろ酔い気分,p,1
ぼけ,n,-1
ぽか,n,-1
まごころ,p,1
まじめ,p,1
まじり,n,-1
まずさ,n,-1
まちがい,n,-1
まっさら,p,1
まとも,p,1
まどらか,p,1
まどろみ,p,1
まめ,p,1
まやかし,n,-1
まゆつば物,n,-1
まろやか,p,1
まん延,n,-1
みずみずしさ,p,1
みみずばれ,n,-1
むくみ,n,-1
むし歯,n,-1
むずかしさ,n,-1
むだ,n,-1
むちゃくちゃ,n,-1
むち打ち,n,-1
むなしさ,n,-1
むやみ,n,-1
むやみやたら,n,-1
めちゃ,n,-1
めちゃくちゃ,n,-1
めちゃめちゃ,n,-1
めったやたら,n,-1
めでたさ,p,1
めまい,n,-1
めんどう,n,-1
もうけ口,p,1
もうけ仕事,p,1
もうろく,n,-1
もだえ,n,-1
もどかしさ,n,-1
ものぐさ,n,-1
もの悲しさ,n,-1
もめ事,n,-1
もやもや,n,-1
もろさ,n,-1
やくざ,n,-1
やけ,n,-1
やけくそ,n,-1
やけっぱち,n,-1
やけっ腹,n,-1
やけど,n,-1
やさしさ,p,1
やっつけ仕事,n,-1
やぶ蛇,n,-1
やりがい,p,1
やりきれなさ,n,-1
やりたい放題,n,-1
やり過ぎ,n,-1
やるせなさ,n,-1
やる気,p,1
やわらかさ,p,1
ゆがみ,n,-1
ゆとり,p,1
よこしま,n,-1
よさ,p,1
よそ事,n,-1
よそ者,n,-1
よどみ,n,-1
らい,n,-1
らしさ,p,1
ろくすっぽ,n,-1
ろくろく,n,-1
わいせつ行為,n,-1
わかりやすさ,p,1
わがまま,n,-1
わき役,n,-1
わざ,p,1
わずらわしさ,n,-1
わだかまり,n,-1
わび,p,1
アイデア,p,1
アイディア,p,1
アイデンティティ,p,1
アイデンティティー,p,1
アウト,n,-1
アオコ,n,-1
アオリ,n,-1
アカ,n,-1
アクシデント,n,-1
アクセス制御機能,p,1
アクティブ,p,1
アットホーム,p,1
アップグレード,p,1
アデノイド,n,-1
アトピー,n,-1
アトピー性皮膚炎,n,-1
アナクロ,n,-1
アバウト,n,-1
アパルトヘイト,n,-1
アフガン戦争,n,-1
アフターサービス,p,1
アブノーマル,n,-1
アホ,n,-1
アミューズメント,p,1
アルコール依存症,n,-1
アルコール中毒,n,-1
アルツハイマー,n,-1
アルツハイマー病,n,-1
アル中,n,-1
アレルギー,n,-1
アレルギー疾患,n,-1
アレルギー性疾患,n,-1
アレルギー性鼻炎,n,-1
アレルギー体質,n,-1
アレルゲン,n,-1
アンティーク,p,1
アンバランス,n,-1
アンフェア,n,-1
イージーミス,n,-1
イエローカード,n,-1
イカサマ,n,-1
イジメ,n,-1
イタズラ,n,-1
イビキ,n,-1
イボ,n,-1
イマイチ,n,-1
イマジネーション,p,1
イメージアップ,p,1
イメージダウン,n,-1
イヤ,n,-1
イラク攻撃,n,-1
イラク侵攻,n,-1
イラク戦争,n,-1
インスピレーション,p,1
インセンティブ,p,1
インチキ,n,-1
インテリ,n,-1
インテリジェンス,p,1
インパクト,p,1
インフォームド・コンセント,p,1
インフォームドコンセント,p,1
インフルエンザ,n,-1
インフルエンザウイルス,n,-1
インフレ,n,-1
インポ,n,-1
インポテンツ,n,-1
ウィークポイント,n,-1
ウィルス,n,-1
ウィルスメール,n,-1
ウイークポイント,n,-1
ウイット,p,1
ウイルス,n,-1
ウイルスメール,n,-1
ウイルス感染,n,-1
ウイルス病,n,-1
ウソ,n,-1
ウツ,n,-1
ウデ,p,1
ウルトラＣ,p,1
ウワサ,n,-1
エール,p,1
エイズ,n,-1
エキスパート,p,1
エゴ,n,-1
エゴイズム,n,-1
エネルギー,p,1
エネルギー不足,n,-1
エネルギッシュ,p,1
エマージェンシー,n,-1
エラー,n,-1
エラーメッセージ,n,-1
エラーログ,n,-1
エリート,p,1
エリート意識,n,-1
エルボー,n,-1
エレガンス,p,1
エレガント,p,1
エレガントさ,p,1
エンスト,n,-1
オーバーフロー,n,-1
オーラ,p,1
オールマイティー,p,1
オイルショック,n,-1
オイル漏れ,n,-1
オカルト,n,-1
オシャレ,p,1
オリジナリティ,p,1
オリジナリティー,p,1
カウンターパンチ,n,-1
カオス,n,-1
カサカサ,n,-1
カサブタ,n,-1
カス,n,-1
カゼ,n,-1
カタルシス,p,1
カッコよさ,p,1
カッコ良さ,p,1
カビ,n,-1
カユミ,n,-1
カラフル,p,1
カリエス,n,-1
カリスマ,p,1
カルシウム不足,n,-1
カルチャーショック,n,-1
カルマ,n,-1
カンタン,p,1
カンニング,n,-1
ガーゴイル,n,-1
ガス漏れ,n,-1
ガソリン代,n,-1
